Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2013-02-20;3;14;3;;0-30cm;25,02996499;Nmin 2013 last MA 45 korr, Tabellenblatt Trial C sortiert;
trial C;2013-02-20;3;14;3;;30-45cm;1,787640714;;treatment 2/3: is the same treatment (represents all plots of 1 year-precrops)
trial C;2013-02-20;3;14;3;;45-75cm;3,805574764;;
trial C;2013-02-20;3;14;3;;75-105cm;4,038554231;;
trial C;2013-02-20;6;16;6;;0-30cm;15,37192328;;
trial C;2013-02-20;6;16;6;;30-45cm;3,91731849;;
trial C;2013-02-20;6;16;6;;45-75cm;2,457353564;;
trial C;2013-02-20;6;16;6;;75-105cm;6,726880435;;
trial C;2013-02-20;5;17;5;;0-30cm;20,60780498;;
trial C;2013-02-20;5;17;5;;30-45cm;3,375979508;;
trial C;2013-02-20;5;17;5;;45-75cm;3,920304722;;
trial C;2013-02-20;5;17;5;;75-105cm;2,930674177;;
trial C;2013-02-20;4;18;4;;0-30cm;20,5027966;;
trial C;2013-02-20;4;18;4;;30-45cm;8,330499534;;
trial C;2013-02-20;4;18;4;;45-75cm;11,59013332;;
trial C;2013-02-20;4;18;4;;75-105cm;17,26020203;;
trial C;2013-02-20;5;19;5;;0-30cm;55,31294557;;
trial C;2013-02-20;5;19;5;;30-45cm;23,32085479;;
trial C;2013-02-20;5;19;5;;45-75cm;39,09561226;;
trial C;2013-02-20;5;19;5;;75-105cm;31,26982623;;
trial C;2013-02-20;4;20;4;;0-30cm;16,19113176;;
trial C;2013-02-20;4;20;4;;30-45cm;9,954745113;;
trial C;2013-02-20;4;20;4;;45-75cm;15,64898814;;
trial C;2013-02-20;4;20;4;;75-105cm;13,98185224;;
trial C;2013-02-20;6;21;6;;0-30cm;22,98394182;;
trial C;2013-02-20;6;21;6;;30-45cm;2,272723257;;
trial C;2013-02-20;6;21;6;;45-75cm;10,77584585;;
trial C;2013-02-20;6;21;6;;75-105cm;2,140002667;;
trial C;2013-02-20;2;23;2;;0-30cm;35,94469605;;
trial C;2013-02-20;2;23;2;;30-45cm;3,743378361;;
trial C;2013-02-20;2;23;2;;45-75cm;2,524842201;;
trial C;2013-02-20;2;23;2;;75-105cm;2,18562117;;
;;;;;;;;;
trial C;2013-04-05;6;16;6;;0-30cm;17,07135836;Nmin 2013 last MA 45 korr, Tabellenblatt Trial C sortiert;
trial C;2013-04-05;6;16;6;;30-45cm;4,447606633;;
trial C;2013-04-05;6;16;6;;45-75cm;3,598608333;;
trial C;2013-04-05;6;16;6;;75-105cm;2,695417562;;
trial C;2013-04-05;5;17;5;;0-30cm;40,24237738;;
trial C;2013-04-05;5;17;5;;30-45cm;7,493053378;;
