Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;rainfed;spring barley;5;0,25;0,25;0;125;125;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;10;0,342;0,342;0;171;171;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;15;0,274;0,274;0;137;137;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;20;0,308;0,308;0;154;154;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;25;0,366;0,366;0;183;183;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;30;0,314;0,314;0;157;157;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;35;0,304;0,304;0;152;152;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;40;0,352;0,352;0;176;176;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;45;0,158;0,158;0;79;79;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;50;0,032;0,016;0,016;16;8;8;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;55;0,016;0,016;0;8;8;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;60;0,002;0,002;0;1;1;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;65;0,002;0,002;0;1;1;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;5;0,422;0,422;0;211;211;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;10;0,268;0,268;0;134;134;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;15;0,3;0,3;0;150;150;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;20;0,334;0,334;0;167;167;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;25;0,354;0,354;0;177;177;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;30;0,34;0,34;0;170;170;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;35;0,274;0,274;0;137;137;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;40;0,22;0,22;0;110;110;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;45;0,088;0,066;0,022;44;33;11;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;50;0,054;0,022;0,032;27;11;16;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;55;0,036;0,02;0,016;18;10;8;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;5;0,226;0,226;0;113;113;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;10;0,256;0,256;0;128;128;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;15;0,144;0,144;0;72;72;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;20;0,224;0,224;0;112;112;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;25;0,192;0,192;0;96;96;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;30;0,17;0,17;0;85;85;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;35;0,154;0,15;0,004;77;75;2;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;40;0,158;0,148;0,01;79;74;5;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;45;0,082;0,056;0,026;41;28;13;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;50;0,056;0,038;0,018;28;19;9;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;55;0,014;0,014;0;7;7;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
