Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;rainfed;spring barley;5;0,25;0,25;0;1,25;1,25;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;10;0,342;0,342;0;1,71;1,71;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;15;0,274;0,274;0;1,37;1,37;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;20;0,308;0,308;0;1,54;1,54;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;25;0,366;0,366;0;1,83;1,83;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;30;0,314;0,314;0;1,57;1,57;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;35;0,304;0,304;0;1,52;1,52;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;40;0,352;0,352;0;1,76;1,76;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;45;0,158;0,158;0;0,79;0,79;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;50;0,032;0,016;0,016;0,16;0,08;0,08;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;55;0,016;0,016;0;0,08;0,08;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;60;0,002;0,002;0;0,01;0,01;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;65;0,002;0,002;0;0,01;0,01;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;7;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;5;0,422;0,422;0;2,11;2,11;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;10;0,268;0,268;0;1,34;1,34;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;15;0,3;0,3;0;1,5;1,5;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;20;0,334;0,334;0;1,67;1,67;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;25;0,354;0,354;0;1,77;1,77;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;30;0,34;0,34;0;1,7;1,7;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;35;0,274;0,274;0;1,37;1,37;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;40;0,22;0,22;0;1,1;1,1;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;45;0,088;0,066;0,022;0,44;0,33;0,11;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;50;0,054;0,022;0,032;0,27;0,11;0,16;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;55;0,036;0,02;0,016;0,18;0,1;0,08;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;5;0,226;0,226;0;1,13;1,13;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;10;0,256;0,256;0;1,28;1,28;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;15;0,144;0,144;0;0,72;0,72;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;20;0,224;0,224;0;1,12;1,12;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;25;0,192;0,192;0;0,96;0,96;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;30;0,17;0,17;0;0,85;0,85;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;35;0,154;0,15;0,004;0,77;0,75;0,02;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;40;0,158;0,148;0,01;0,79;0,74;0,05;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;45;0,082;0,056;0,026;0,41;0,28;0,13;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;50;0,056;0,038;0,018;0,28;0,19;0,09;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;55;0,014;0,014;0;0,07;0,07;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
