Trial;sampling date;plot;fieldrep;treatm;treatment;DM_mean;N_mean;P_mean;K_mean;DM_mean_t
Trial C;all;1;1;Lu1;1;3524,986103;105,0542765;18,65734981;113,679922;3,524986103
Trial C;all;2;1;Ch1;2;3371,543272;49,63221893;22,18972229;221,6848242;3,371543272
Trial C;all;3;1;Fe1;3;2168,393649;34,15778713;11,34383829;77,02574552;2,168393649
Trial C;all;4;1;Lu2;4;13801,12571;463,2642271;65,58133636;370,4553859;13,80112571
Trial C;all;5;1;Ch2;5;10662,46482;165,2141739;56,40338729;349,707499;10,66246482
Trial C;all;6;1;Fe2;6;8852,556196;139,6191026;34,58942238;168,5694892;8,852556196
Trial C;all;7;2;Ch2;5;9171,550648;129,3176779;47,04010741;258,3925027;9,171550648
Trial C;all;8;2;Fe2;6;7958,398318;116,6384482;32,11461915;136,4533809;7,958398318
Trial C;all;9;2;Lu2;4;12938,10968;446,8416198;63,73729055;359,3996588;12,93810968
Trial C;all;10;2;Fe1;3;3117,497992;43,46794585;14,85957987;100,6462381;3,117497992
Trial C;all;11;2;Lu1;1;5404,206239;155,7675933;27,90198746;170,9726613;5,404206239
Trial C;all;12;2;Ch1;2;3254,235047;56,32576378;21,02688488;206,9667434;3,254235047
Trial C;all;13;3;Ch1;2;2982,727987;53,43101792;17,74043206;191,4055149;2,982727987
Trial C;all;14;3;Fe1;3;2828,701222;45,45234873;13,45670782;106,1314809;2,828701222
Trial C;all;15;3;Lu1;1;4225,766923;127,7666038;20,64621179;130,9633968;4,225766923
Trial C;all;16;3;Fe2;6;11323,19544;241,3519294;46,32554809;250,9180403;11,32319544
Trial C;all;17;3;Ch2;5;14206,69177;304,455411;71,33553252;468,8486184;14,20669177
Trial C;all;18;3;Lu2;4;13833,31014;466,7258924;65,20318099;410,833723;13,83331014
Trial C;all;19;4;Ch2;5;15293,82091;343,1385936;81,1713142;524,7558946;15,29382091
Trial C;all;20;4;Lu2;4;13561,48037;450,6934004;62,44496925;386,58936;13,56148037
Trial C;all;21;4;Fe2;6;10675,704;223,6159295;44,35382141;259,2447611;10,675704
Trial C;all;22;4;Fe1;3;2539,717845;39,52791437;15,89072032;86,29718726;2,539717845
Trial C;all;23;4;Ch1;2;3746,044644;66,0575082;22,07321691;218,2671054;3,746044644
Trial C;all;24;4;Lu1;1;3848,392561;104,6081414;18,32111024;111,5535905;3,848392561
