Trial;sampling_date;date;treatment;plot ;fieldrep;depth;depth_class;C_proz;N_proz;K_mgkg;P_mgkg
trial C;11.03.2014;1;1;1;1;30;1;1,00932363;0,11159775;156,9334255;89,50469958
trial C;11.03.2014;1;1;1;1;45;2;0,80127656;0,09007119;308,4752212;184,4191496
trial C;11.03.2014;1;1;1;1;75;3;0,50340855;0,05685548;66,50927801;11,35642312
trial C;11.03.2014;1;1;1;1;105;4;0,38068929;0,04910661;69,87687246;6,263103429
trial C;11.03.2014;1;2;2;1;30;1;0,97297715;0,10974428;143,9366613;123,3810189
trial C;11.03.2014;1;2;2;1;45;2;0,74404259;0,08650923;285,7543595;123,1809753
trial C;11.03.2014;1;2;2;1;75;3;0,4417081;0,05338811;52,52044246;7,354153399
trial C;11.03.2014;1;2;2;1;105;4;0,37289776;0,0503036;73,7877425;7,013136717
trial C;11.03.2014;1;3;3;1;30;1;0,89981451;0,10256509;146,3968819;104,3414984
trial C;11.03.2014;1;3;3;1;45;2;0,68035264;0,07825218;245,8973458;123,0464435
trial C;11.03.2014;1;3;3;1;75;3;0,44707729;0,05164954;51,54927146;12,19217919
trial C;11.03.2014;1;3;3;1;105;4;0,42219781;0,05076484;58,92931146;8,81090893
trial C;11.03.2014;1;4;4;1;30;1;0,95133907;0,10710836;152,6839944;94,78657278
trial C;11.03.2014;1;4;4;1;45;2;0,86841836;0,09665924;290,2080638;180,6287646
trial C;11.03.2014;1;4;4;1;75;3;0,42705619;0,05536391;57,52989922;12,2150644
trial C;11.03.2014;1;4;4;1;105;4;0,36531822;0,05007711;51,61536785;6,758086299
trial C;11.03.2014;1;5;5;1;30;1;0,87070739;0,10136981;119,5220155;91,66176965
trial C;11.03.2014;1;5;5;1;45;2;0,78302498;0,09128527;285,6729316;166,1205737
trial C;11.03.2014;1;5;5;1;75;3;0,42808713;0,05248472;63,0218336;9,216016309
trial C;11.03.2014;1;5;5;1;105;4;0,34739412;0,04777426;78,23498343;8,332084918
trial C;11.03.2014;1;6;6;1;30;1;0,91459478;0,10320978;165,8013559;84,8097093
trial C;11.03.2014;1;6;6;1;45;2;0,69355076;0,079313;286,8969223;89,55467826
trial C;11.03.2014;1;6;6;1;75;3;0,37296695;0,04621622;64,27526627;3,180459514
trial C;11.03.2014;1;6;6;1;105;4;0,40972808;0,04579061;47,85228103;2,824753236
trial C;11.03.2014;1;5;7;2;30;1;0,82206389;0,0918649;125,1027533;81,09651248
trial C;11.03.2014;1;5;7;2;45;2;0,71327215;0,07910839;270,0993882;42,68810871
trial C;11.03.2014;1;5;7;2;75;3;0,42131883;0,04946416;69,37304403;7,164675072
trial C;11.03.2014;1;5;7;2;105;4;0,33624803;0,04523351;77,35757528;1,063572245
trial C;11.03.2014;1;6;8;2;30;1;0,81830298;0,08863736;110,1767442;81,12725928
trial C;11.03.2014;1;6;8;2;45;2;0,66521107;0,07403153;216,1948967;56,68379382
trial C;11.03.2014;1;6;8;2;75;3;0,38442522;0,04509649;60,39509774;24,61664
trial C;11.03.2014;1;6;8;2;105;4;0,37199346;0,04712376;69,41317225;11,45077143
trial C;11.03.2014;1;4;9;2;30;1;0,89932481;0,10126698;170,1418875;55,49973639
trial C;11.03.2014;1;4;9;2;45;2;0,7791509;0,08770715;256,1878848;47,76430613
trial C;11.03.2014;1;4;9;2;75;3;0,40886331;0,05250509;73,72248043;10,87863848
trial C;11.03.2014;1;4;9;2;105;4;0,36490311;0,04648135;64,42803291;4,855643892
trial C;11.03.2014;1;3;10;2;30;1;0,92022731;0,102441;206,8250573;106,2198003
trial C;11.03.2014;1;3;10;2;45;2;0,7668942;0,08809908;326,5140743;72,44359615
trial C;11.03.2014;1;3;10;2;75;3;0,36214521;0,04646495;87,54717322;0
trial C;11.03.2014;1;3;10;2;105;4;0,3633732;0,04900545;73,70000663;0
trial C;11.03.2014;1;1;11;2;30;1;0,9359611;0,10493502;176,765741;85,53937904
trial C;11.03.2014;1;1;11;2;45;2;0,85099989;0,09228531;319,5908474;80,05910486
trial C;11.03.2014;1;1;11;2;75;3;0,37440568;0,04722498;69,77860916;0,458079342
